object_tag,num_obj,percentAGN,error
5169.0,22.0,0.0,0.0
5198.0,24.0,0.0,0.0
5307.0,24.0,0.0,0.0
5339.0,27.0,11.111,6.762
5343.0,11.0,9.091,9.495
5351.0,23.0,0.0,0.0
5368.0,24.0,4.167,4.253
5370.0,23.0,4.348,4.441
5375.0,20.0,0.0,0.0
5381.0,24.0,0.0,0.0
5395.0,23.0,0.0,0.0
5406.0,21.0,0.0,0.0
5420.0,24.0,4.167,4.253
5457.0,23.0,0.0,0.0
5486.0,23.0,0.0,0.0
5502.0,24.0,0.0,0.0
5508.0,23.0,0.0,0.0
5586.0,22.0,0.0,0.0
5643.0,27.0,0.0,0.0
5649.0,17.0,5.882,6.053
5653.0,22.0,0.0,0.0
5658.0,22.0,0.0,0.0
5662.0,24.0,0.0,0.0
5666.0,15.0,6.667,6.885
5669.0,23.0,0.0,0.0
5670.0,23.0,0.0,0.0
5675.0,22.0,0.0,0.0
5678.0,23.0,0.0,0.0
5689.0,21.0,0.0,0.0
5702.0,23.0,0.0,0.0
5703.0,19.0,0.0,0.0
5712.0,22.0,0.0,0.0
5719.0,24.0,0.0,0.0
5722.0,18.0,5.556,5.708
5723.0,23.0,0.0,0.0
5724.0,9.0,22.222,17.372
5748.0,23.0,0.0,0.0
5761.0,22.0,4.545,4.648
5771.0,18.0,5.556,5.708
5793.0,20.0,0.0,0.0
5796.0,20.0,0.0,0.0
5800.0,21.0,0.0,0.0
5802.0,17.0,5.882,6.053
5812.0,21.0,0.0,0.0
5862.0,24.0,0.0,0.0
5864.0,8.0,37.5,25.388
5887.0,24.0,0.0,0.0
5894.0,24.0,0.0,0.0
5916.0,22.0,0.0,0.0
5921.0,5.0,20.0,21.909
5926.0,22.0,0.0,0.0
5927.0,22.0,0.0,0.0
5928.0,22.0,0.0,0.0
5939.0,22.0,4.545,4.648
5951.0,17.0,5.882,6.053
5967.0,21.0,0.0,0.0
5981.0,19.0,0.0,0.0
5991.0,23.0,0.0,0.0
5994.0,23.0,0.0,0.0
5998.0,23.0,0.0,0.0
6022.0,17.0,11.765,8.795
6028.0,24.0,4.167,4.253
6032.0,20.0,0.0,0.0
6036.0,18.0,11.111,8.282
6039.0,16.0,18.75,11.797
6067.0,22.0,0.0,0.0
6078.0,21.0,0.0,0.0
6080.0,7.0,42.857,29.574
6095.0,23.0,0.0,0.0
6096.0,21.0,0.0,0.0
6102.0,22.0,0.0,0.0
6114.0,10.0,30.0,19.748
6122.0,19.0,0.0,0.0
6136.0,17.0,11.765,8.795
6144.0,7.0,28.571,22.908
6157.0,23.0,0.0,0.0
6159.0,11.0,27.273,17.764
6160.0,22.0,0.0,0.0
6166.0,25.0,0.0,0.0
6169.0,19.0,0.0,0.0
6170.0,22.0,0.0,0.0
6175.0,22.0,0.0,0.0
6181.0,19.0,5.263,5.4
6193.0,6.0,66.667,43.033
6194.0,22.0,0.0,0.0
6201.0,22.0,0.0,0.0
6209.0,21.0,0.0,0.0
6223.0,20.0,0.0,0.0
6230.0,20.0,5.0,5.123
6233.0,21.0,0.0,0.0
6234.0,10.0,20.0,15.492
6237.0,6.0,33.333,27.217
6247.0,10.0,0.0,0.0
6275.0,20.0,0.0,0.0
6298.0,25.0,4.0,4.079
6300.0,22.0,0.0,0.0
6314.0,22.0,0.0,0.0
6321.0,22.0,0.0,0.0
6332.0,24.0,0.0,0.0
6334.0,22.0,0.0,0.0
6357.0,15.0,6.667,6.885
6383.0,21.0,4.762,4.874
6392.0,20.0,0.0,0.0
6396.0,22.0,0.0,0.0
6403.0,21.0,0.0,0.0
6415.0,12.0,25.0,16.137
6423.0,22.0,0.0,0.0
6427.0,24.0,0.0,0.0
6442.0,21.0,0.0,0.0
6445.0,24.0,4.167,4.253
6459.0,23.0,0.0,0.0
6472.0,22.0,0.0,0.0
6487.0,7.0,57.143,35.816
6522.0,16.0,0.0,0.0
6525.0,22.0,0.0,0.0
6530.0,22.0,0.0,0.0
6543.0,13.0,30.769,17.593
6546.0,21.0,0.0,0.0
6551.0,21.0,0.0,0.0
6556.0,23.0,0.0,0.0
6563.0,23.0,0.0,0.0
6565.0,23.0,0.0,0.0
6573.0,19.0,0.0,0.0
6585.0,20.0,0.0,0.0
6591.0,22.0,0.0,0.0
6595.0,21.0,0.0,0.0
6600.0,22.0,0.0,0.0
6619.0,19.0,0.0,0.0
6633.0,22.0,0.0,0.0
6664.0,19.0,0.0,0.0
6666.0,8.0,25.0,19.764
6676.0,22.0,0.0,0.0
6681.0,19.0,0.0,0.0
6684.0,9.0,0.0,0.0
6710.0,21.0,0.0,0.0
6716.0,24.0,0.0,0.0
6737.0,22.0,0.0,0.0
6741.0,22.0,0.0,0.0
6753.0,22.0,0.0,0.0
6762.0,23.0,0.0,0.0
6775.0,22.0,0.0,0.0
6788.0,24.0,0.0,0.0
6793.0,21.0,0.0,0.0
6797.0,21.0,0.0,0.0
6801.0,20.0,0.0,0.0
6807.0,6.0,16.667,18.002
6811.0,19.0,0.0,0.0
6828.0,16.0,0.0,0.0
6840.0,23.0,0.0,0.0
