NSAID,RA
2345,156.23820103871986
2366,155.5735844135024
2373,155.704876443745
2396,155.53400661176622
2401,154.95570770044898
2426,155.03831360239275
2428,155.3802291472789
2431,155.3450474548629
2432,155.52825056592022
2446,155.00475467068438
2452,155.7014503694496
2461,155.26955411281364
2468,155.37209698208733
2469,155.4125498964134
2492,155.66324180645387
2592,156.89069330049412
2594,156.72616141736827
2601,156.67026768593928
2612,156.7182993531523
2614,156.78392021354617
2646,158.37110039515062
2647,158.57635457967527
2650,158.49708130946166
2656,159.02343898747012
2660,159.02884858898156
2671,158.14999708458402
2672,158.17891660881955
2686,157.99325473103352
2691,157.81950679009637
2720,157.93496323100632
2723,158.01394203224478
2726,157.66073763977278
2735,157.5293498028226
2739,157.68479737697834
2781,156.72697509776538
2806,157.4440077882536
2838,158.00665866553587
2839,157.79992567940928
2842,158.0299047139906
2843,158.05699557774392
2847,157.7554160537792
2881,158.46588431196616
2883,158.417533365575
2885,158.3321478572501
2912,158.61154713874893
2924,158.93195067864386
2930,159.00858821437066
2939,159.25743983928825
2963,160.73405258280286
2966,161.18210833928825
2968,161.2256446574008
2975,161.0547912780589
2992,160.7906477764138
2996,160.8665934449997
3002,160.86340378647992
3006,160.14433335437246
3013,160.0973849743529
3015,160.21361621231975
3021,160.65275218279345
3029,160.7826861183768
3036,159.8580216451143
3044,159.9322412505139
3048,159.97302637683416
3068,160.11944969104738
3083,160.03520002280317
3089,159.85537319799357
3102,159.65995486957084
3105,159.62984990001198
3117,159.81541215749132
3119,159.79763259676844
3148,159.60371277202154
3154,159.1071043826037
3159,159.10740314245558
3183,158.46762279175272
3203,159.15560086860822
3214,159.52564050376904
3226,159.75380544133395
3245,159.83415208242474
3285,160.2627463229328
3291,160.47228672088912
3312,160.6273153027336
3316,160.68680689678575
3336,160.81286745639983
3350,160.70014470739503
3378,162.284228324713
3387,162.90464352431914
3393,162.12173498916903
3422,162.31314773699052
3426,162.26524977804252
3427,162.19931863961392
3460,161.79984521408574
3465,161.7428536981967
3473,161.43455837633633
3474,161.49684362430472
3477,161.6432329766407
3479,161.5140764842064
3489,161.24914987854245
3493,161.25171312454458
3521,161.16420995698954
3612,161.11263249027678
3617,161.21437590949725
3622,161.24631421423786
3625,161.25558581219522
3663,161.47106675537378
3676,161.8042265795584
3687,161.71641390337828
3692,161.9316175369256
3693,161.585094597321
3702,161.9775610165618
3704,162.01343845065787
3710,162.2745405735128
3712,162.2191820557764
3723,162.41680498899973
3738,162.50329818584032
3745,162.5076487044566
3765,164.3616815255252
3842,163.52834123479002
3854,163.33657068278785
3895,162.98347530875515
3898,162.8852456251816
3905,162.77620030014947
3918,162.49599357128724
3930,162.6520778387106
3943,162.38038908476628
3945,162.45937006748684
3976,162.67765916935767
3979,162.76365193941228
3991,162.34763169561194
3995,162.4200778006772
3999,162.88404372404912
4004,162.81785241086405
4006,162.5702578730613
4012,162.7597552303715
4018,163.21922883548842
4029,162.9694206309905
4030,163.06893350417465
4037,163.270260084699
4039,163.42728412419422
4040,163.20038414148624
4044,163.45352032111705
4056,163.53433337768993
4063,163.51674060724685
4067,163.8477669689715
4068,163.64285973885677
4070,164.01099114661326
4081,163.90886043193635
4083,164.09075159799644
4088,163.75347693641083
4091,163.78181913835616
4115,164.37966062107327
4122,164.6341818199286
4125,164.76074508715644
4139,166.4147658848498
4155,166.06914256864596
4203,165.81355975079475
4206,165.71002052746195
4213,165.59865434518798
4219,165.63871173034008
4245,164.6834674027836
4251,164.82852044554366
4256,164.88292165304404
4274,164.1441327809538
4279,164.23078382821328
4289,164.9737045705322
4307,164.75691737364738
4322,165.1259640572868
4334,165.65178318336956
4342,165.4968069766034
4353,165.73406051880858
4365,165.8046388906119
4368,165.94230172433947
4407,166.2506919189455
4415,166.4583683308462
4425,168.04434730632153
4442,168.39630444263582
4528,167.57367769693187
4555,167.35546629594424
4607,166.51888199210777
4635,166.82086792783494
4659,166.9573227875863
4674,167.11258880337587
4678,167.13396163141206
4708,167.2270968688846
4714,167.4940051739003
4720,167.59286041657575
4755,167.82068360328034
4757,167.8181552906884
4760,167.7667615677421
4805,169.81204449483332
4809,169.85684363810552
4815,170.17282152474152
4875,169.55412449836456
4878,169.49401320864408
4926,168.77260558786276
4943,168.79138538202153
4952,168.56174819283464
5035,167.7757781162344
5044,168.3276945806595
5046,168.31001726160213
5083,168.70591189316517
5121,168.95761622582086
5137,169.52355976731363
5144,169.24193355678588
5159,169.7316511114007
5166,169.54645445213177
5167,169.66211668347378
5169,169.66755288887703
5198,170.16453482863247
5232,171.47205594769278
5307,170.97203084882474
5339,170.1570964280734
5343,170.21888938346294
5351,170.27392879027204
5368,169.92487672593865
5370,170.11514761622146
5375,169.97181260891546
5381,169.9056233489139
5395,169.22512455249023
5406,169.398357175618
5420,170.0093173032232
5424,169.54153966503466
5457,170.30263465030362
5486,170.44666579881792
5502,170.71120698227594
5508,170.64969636883868
5586,171.1572074560684
5643,171.73163984211217
5649,172.82312622182351
5653,172.60825308930782
5658,173.1605354483211
5662,172.99427972492455
5666,172.45671693123202
5669,172.50812819181132
5670,172.5282862918547
5675,172.7828967384956
5678,172.52953415116568
5689,172.1310485767406
5702,172.21258314319363
5703,172.3648533467462
5712,172.0762750061815
5715,172.1845749078959
5719,171.98795591600273
5722,172.0875415488269
5723,172.14898174019714
5724,172.12320939416486
5748,171.60316120786274
5760,171.4670729939115
5761,171.48743982439305
5771,171.58188828559616
5793,171.340625089808
5796,171.28720424432206
5798,170.94493574238106
5800,170.72867235504967
5802,170.7116946339203
5812,170.60169410995408
5851,171.47198856699185
