object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,W1-W2,W2-W3
207034.0,4.0,0.1966800385064137,1,198.2187853235397,53.956008262079706,1040,196,52722,-16.390933990478516,0.0158285368233919,-0.7115383148193359,-8.786874771118164,1.0,,0.8452177047729492,0.2287273406982422,0.06401142896579,0.0300264224170164,21816.0,0.346047,-78.394161,198.21878532,53.956008262,198.2186253,53.9560276,15.349,0.036,30.2,15.223,0.071,15.2,12.178,,1.7,8.883,0.347,3.1,0.12599999999999945,3.045
210916.0,9.0,-0.4740927025461765,1,234.08408532015457,43.41284760509672,1052,516,52466,-16.616546630859375,0.0200960393995046,-1.830580234527588,-10.91497802734375,-1.0,,1.7946710586547852,0.6084003448486328,0.1557519629791751,0.0615890207935774,22500.0,0.407179,106.120684,234.08408532,43.412847605,234.0842349,43.4128162,15.057,0.029,37.1,14.971,0.05,21.6,13.387,0.539,2.0,9.61,,-0.4,0.0860000000000003,1.5839999999999996
212547.0,23.0,-0.0679868966040573,1,248.42287204975048,32.765708380996806,1058,45,52520,-16.676149368286133,0.0147279612720012,-1.1537584066390991,-10.007946014404297,1.0,,1.6448822021484375,0.5289974212646484,0.0951064776273671,0.0362213055076662,22801.0,0.287136,30.928147,248.42287205,32.765708381,248.4229208,32.7657768,14.385,0.152,7.1,14.264,0.037,29.5,11.177,0.129,8.4,8.772,0.416,2.6,0.12100000000000044,3.0869999999999997
212589.0,22.0,0.2644502959453383,1,247.28123208739072,33.307033987071,1058,190,52520,-16.583879470825195,0.0189879089593887,-1.5075892210006714,-10.644615173339844,1.0,,2.1827449798583984,0.7241687774658203,0.1275487864187191,0.0309182391665041,22811.0,0.139629,105.994167,247.28123209,33.307033987,247.2812767,33.3070233,14.301,0.028,38.7,14.212,0.038,28.5,10.606,0.083,13.0,8.43,,1.5,0.08900000000000041,3.606
220051.0,16.0,-0.3274147181200526,1,221.893068312847,53.93490809208354,1163,183,52669,-16.980457305908203,0.0191586632281541,-1.0668303966522217,-9.708924293518066,1.0,,1.461350440979004,0.4040184020996094,0.0807719969486014,0.0315554845573398,23206.0,0.122878,107.1978,221.89306831,53.934908092,221.8931237,53.934898,14.99,0.029,36.8,14.917,0.049,22.3,12.038,0.219,5.0,9.097,,0.7,0.0730000000000004,2.8789999999999996
220844.0,7.0,-0.1524111357369436,1,227.1318647919332,52.9323894507195,1165,406,52703,-16.98780059814453,0.0246165059506893,-1.018789768218994,-9.764090538024902,1.0,,1.2774600982666016,0.4086284637451172,0.0714028248286508,0.0314875501062008,23325.0,0.042082,4.756315,227.13186479,52.932389451,227.1318664,52.9324011,15.205,0.032,33.8,15.158,0.058,18.8,12.694,0.4,2.7,9.173,,0.9,0.0470000000000006,2.4639999999999986
221844.0,4.0,-0.9150587606350656,1,238.1364685850345,47.16060503359883,1168,549,52731,-16.547182083129883,0.0205766260623931,-1.104313850402832,-9.580348014831545,1.0,,1.308210372924805,0.381072998046875,0.0813512651513568,0.0320539555738235,23503.0,0.451375,-28.711231,238.13646859,47.160605034,238.13638,47.160715,15.445,0.032,34.1,15.269,0.059,18.5,12.395,0.218,5.0,9.641,0.517,2.1,0.17600000000000016,2.8740000000000006
222163.0,4.0,0.1491478096677424,1,239.87128048797115,45.93960533783826,1169,533,52753,-16.829505920410156,0.0207292158156633,-1.0808883905410769,-9.504194259643556,1.0,,0.9493446350097656,0.2197818756103515,0.1885214499856973,0.0317168096244449,23585.0,0.420185,-168.908576,239.87128049,45.939605338,239.8712482,45.9394908,15.499,0.031,34.6,15.35,0.059,18.4,12.804,0.342,3.2,9.235,,0.9,0.1490000000000009,2.5459999999999994
222450.0,4.0,0.3956056822340886,1,241.54716543913847,43.50516803772277,1170,445,52756,-16.858333587646484,0.0187517777085304,-1.2265229225158691,-9.371973991394045,1.0,,0.934544563293457,0.4250354766845703,0.1258469674395964,0.0402230740778645,23650.0,1.741166,144.906835,241.54716544,43.505168038,241.5475488,43.5047723,15.424,0.036,30.3,15.143,0.062,17.4,12.572,0.291,3.7,9.774,0.521,2.1,0.2809999999999988,2.5710000000000015
222771.0,22.0,0.1661373307142661,1,243.97503036177503,42.335727727646415,1171,363,52753,-16.99466323852539,0.0227096416056156,-0.96097332239151,-9.966924667358398,1.0,,1.6844377517700195,0.5128498077392578,0.280320096787107,0.0296001866953545,23709.0,0.096053,-65.952831,243.97503036,42.335727728,243.9749974,42.3357386,14.725,0.028,39.0,14.609,0.043,25.2,12.031,0.156,7.0,9.793,0.542,2.0,0.11599999999999966,2.5779999999999994
224190.0,17.0,0.4301100280289412,1,255.0657404254207,31.22992360388113,1176,2,52791,-16.923839569091797,0.0235462021082639,-1.0267974138259888,-9.86448574066162,1.0,,1.471965789794922,0.4101543426513672,0.1471660564707319,0.048371942473941,23927.0,0.164783,-84.991518,255.06574043,31.229923604,255.0656871,31.2299276,14.982,0.033,33.2,14.829,0.054,20.2,11.796,0.249,4.4,9.173,,-0.3,0.1529999999999987,3.0330000000000013
228595.0,16.0,-0.3884090234063056,1,144.23105063824482,8.562426895537795,1196,570,52733,-16.508787155151367,0.0221978425979614,-0.7459016442298889,-9.373106956481934,1.0,,1.3259077072143557,0.417917251586914,0.0716644899503165,0.0295487351924258,24606.0,0.20049,-104.448396,144.23105064,8.5624268955,144.2309961,8.562413,14.746,0.031,34.6,14.601,0.056,19.4,10.639,0.096,11.3,8.519,0.327,3.3,0.14499999999999957,3.9620000000000015
228790.0,10.0,-0.4260894979867825,1,128.229454511223,35.271804230578645,1197,496,52668,-16.86030387878418,0.0141613176092505,-1.210505127906799,-9.758747100830078,1.0,,1.4763422012329102,0.4970722198486328,0.1568546840896911,0.0388067480137833,24651.0,0.239975,103.207734,128.22945451,35.271804231,128.229534,35.271789,14.883,0.034,31.5,14.667,0.067,16.2,12.172,0.357,3.0,8.54,,0.9,0.2159999999999993,2.494999999999999
229125.0,15.0,-0.2637764154715715,1,134.03140986855988,39.86914217916022,1198,498,52669,-15.35728359222412,0.0062533211894333,-1.3616583347320557,-8.743090629577637,1.0,,0.8860197067260742,0.1753673553466797,0.0649386394257623,0.029377684200874,24695.0,0.390088,106.833269,134.03140987,39.869142179,134.031545,39.8691108,14.933,0.034,31.7,14.664,0.063,17.4,11.593,0.23,4.7,7.981,0.217,5.0,0.26900000000000013,3.0709999999999997
229939.0,14.0,-0.0684254905236565,1,137.78359388230734,42.656311050786016,1201,348,52674,-15.964605331420898,0.0060564116574823,-1.2676470279693604,-9.233247756958008,1.0,,0.8701257705688477,0.2505083084106445,0.0576598068580199,0.0306342008844083,24849.0,1.17109,-70.861762,137.78359388,42.656311051,137.783176,42.6564177,14.857,0.031,35.3,15.03,0.062,17.6,12.127,,1.5,8.759,,0.7,-0.17300000000000004,2.9029999999999987
229948.0,4.0,-0.3078338873414009,1,139.10446875691105,43.00537128810644,1201,378,52674,-15.967645645141602,0.0085444441065192,-1.176541090011597,-8.991216659545898,1.0,,0.8154802322387695,0.1492509841918945,0.1292806631874698,0.0300606265651984,24853.0,1.833547,167.162601,139.10446876,43.005371288,139.1046235,43.0048747,14.983,0.032,33.8,15.01,0.07,15.6,12.22,0.468,2.3,8.308,0.313,3.5,-0.026999999999999247,2.789999999999999
230094.0,23.0,0.0524824267789487,1,144.10450309638406,43.84760630307464,1202,248,52672,-16.92917823791504,0.0148775614798069,-1.1068472862243652,-10.079506874084473,1.0,,1.7427902221679688,0.5410976409912109,0.0639749250000281,0.0293113236683247,24903.0,0.240629,-5.818771,144.1045031,43.847606303,144.1044937,43.8476728,13.861,0.025,43.0,13.797,0.036,30.4,10.746,0.111,9.8,8.696,0.446,2.4,0.06400000000000006,3.051
230139.0,8.0,-0.0862615033086771,1,144.88192041367105,45.90330533422296,1202,379,52672,-15.93665599822998,0.0113443918526172,-1.3039603233337402,-9.580904006958008,1.0,,1.1452980041503906,0.3147001266479492,0.0823728518787332,0.0302759262744442,24915.0,0.356565,179.119867,144.88192041,45.903305334,144.8819226,45.9032063,15.055,0.033,32.8,14.911,0.068,16.0,11.96,,1.2,8.724,,-0.4,0.14400000000000013,2.9509999999999987
231760.0,7.0,-0.0042296696609064,1,127.60625392956456,31.18964081100415,1208,430,52672,-16.258901596069336,0.0070762918330729,-1.4062293767929075,-9.757241249084473,1.0,8.62,1.2181119918823242,0.3330669403076172,0.0812290078173768,0.0318923642565952,25196.0,2.015534,63.571179,127.60625393,31.189640811,127.60684,31.18989,14.886,0.033,32.6,14.741,0.064,16.9,12.453,0.41,2.6,9.095,,-1.9,0.14499999999999957,2.2880000000000003
232186.0,15.0,0.0993463540691836,1,132.60562708086016,32.62107557483638,1210,98,52701,-14.830142974853516,0.0074093700386583,-2.113555908203125,-9.377827644348145,1.0,,1.3633403778076172,0.4800262451171875,0.0845251026428097,0.0326087629634654,25262.0,0.957688,-25.139652,132.60562708,32.621075575,132.6054929,32.6213164,14.732,0.031,34.6,14.661,0.067,16.2,12.512,,-0.2,8.641,,1.2,0.07099999999999973,2.148999999999999
232491.0,4.0,-0.5273509730879374,1,135.79907037394963,34.87936074941501,1211,71,52964,-16.169038772583008,0.0107671422883868,-1.4737470149993896,-9.747599601745604,1.0,,1.4536314010620115,0.455657958984375,0.1942074561244496,0.0490423775646253,25323.0,0.363922,90.027972,135.79907037,34.879360749,135.7991936,34.8793607,15.113,0.034,31.7,14.905,0.086,12.6,12.356,,0.0,8.603,,0.3,0.20800000000000018,2.5489999999999995
233441.0,16.0,0.0734766231557498,1,142.16605587168496,38.56365994383012,1214,156,52731,-16.91269302368164,0.0124451545998454,-0.9683509469032288,-9.60763168334961,1.0,,1.305744171142578,0.5066280364990234,0.0691814442272987,0.0367901286494002,25509.0,1.438378,121.211012,142.16605587,38.563659944,142.1664929,38.5634529,15.135,0.044,24.8,15.151,0.096,11.3,11.892,,1.3,8.161,,1.3,-0.016000000000000014,3.2590000000000003
234152.0,16.0,0.0917836190164575,1,147.24225820979487,41.44581313880804,1216,420,52709,-16.784624099731445,0.0074709099717438,-1.1364177465438845,-9.266989707946776,1.0,,0.9241323471069336,0.2223243713378906,0.0919360290345603,0.0314238715761905,25691.0,1.388124,112.047008,147.24225821,41.445813139,147.242735,41.4456684,14.774,0.035,30.9,14.688,0.064,16.9,11.675,0.237,4.6,8.171,0.276,3.9,0.08599999999999852,3.013
234658.0,11.0,-0.3078773107213046,1,152.93329878671335,43.46355983798519,1218,402,52709,-15.94266414642334,0.0124792857095599,-1.420073628425598,-9.605169296264648,1.0,,1.2408990859985352,0.3611087799072265,0.066261866651043,0.0316107111755586,25833.0,0.364486,52.194489,152.93329879,43.463559838,152.933409,43.4636219,14.98,0.032,33.4,14.879,0.063,17.3,11.98,0.301,3.6,8.57,,1.8,0.10100000000000087,2.898999999999999
234692.0,11.0,0.0444782998730561,1,152.97044513927918,43.4096464506345,1218,465,52709,-16.4791259765625,0.0073408489115536,-2.94347620010376,-9.10944938659668,1.0,,1.0134868621826172,0.2669048309326172,0.0692401570112118,0.0315173798200586,25837.0,1.750264,-112.040819,152.97044514,43.409646451,152.9698248,43.409464,15.129,0.04,27.5,14.752,0.059,18.4,11.713,0.223,4.9,8.397,0.347,3.1,0.3769999999999989,3.0390000000000015
235210.0,4.0,0.2761603742755191,1,168.0642867783556,8.628744490186959,1221,68,52751,-16.570526123046875,0.0110403727740049,-1.2577993869781494,-9.787236213684082,1.0,9.75,1.2451982498168943,0.4103717803955078,0.1511327162075224,0.0430832839341029,25910.0,0.32407,44.768685,168.06428678,8.6287444902,168.0643509,8.6288084,14.949,0.035,31.3,14.794,0.07,15.6,12.014,,1.1,8.253,,1.8,0.15499999999999936,2.780000000000001
