object_tag,num_obj,Pr
2431.0,19.0,0.1265070532864944
2432.0,4.0,0.13267178911741492
2446.0,21.0,0.7478225164846928
2452.0,23.0,0.7530517792047078
2461.0,23.0,0.1264223658491498
2468.0,24.0,0.9434806703672979
2469.0,24.0,0.12128614372827669
2492.0,22.0,0.6655851232842189
2592.0,21.0,0.6518614995435571
2594.0,21.0,0.9146461426244173
2601.0,21.0,0.6856597728390447
2612.0,23.0,0.9911712437631659
2614.0,26.0,0.9877773436583381
2646.0,6.0,0.006468356093516616
2650.0,16.0,-0.08410279001157994
2656.0,23.0,0.9923085389635179
2660.0,6.0,0.35205485499359823
2671.0,26.0,0.9808121650197575
2672.0,25.0,0.995428203975947
2691.0,23.0,0.8446664181820462
2720.0,15.0,0.7120876465289252
2723.0,24.0,0.5166526904676387
2735.0,13.0,0.915956409837948
2739.0,25.0,0.6438018403336404
2781.0,22.0,-0.12814506322645294
2806.0,7.0,0.9448145794647195
2839.0,22.0,0.6148282221848227
2842.0,23.0,0.42952061995660085
2843.0,24.0,0.9925185630104504
2847.0,23.0,0.3698449578076846
2881.0,12.0,0.8606688769856441
2883.0,21.0,0.9248598612575688
2885.0,16.0,0.8901550620221114
2912.0,23.0,0.02331422446126727
2939.0,6.0,0.7472337701451246
2963.0,24.0,0.9575423951543932
2968.0,24.0,0.6265773345613994
2975.0,20.0,0.8315183236655845
2992.0,22.0,-0.15841560350069595
3002.0,21.0,-0.210134049090135
3006.0,21.0,0.9994958795058466
3015.0,27.0,0.9969099470671475
3029.0,19.0,0.8644649993536366
3036.0,6.0,-0.053119142074659516
3044.0,18.0,0.5312268977033324
3048.0,24.0,0.7862756637947279
3068.0,21.0,0.8160887832925726
3083.0,7.0,0.862891904100323
3102.0,15.0,0.8266747566924008
3105.0,23.0,0.9565005855249457
3117.0,27.0,0.9996881031237098
3119.0,26.0,0.7131517171632521
3148.0,22.0,0.31968808993526926
3154.0,18.0,0.7769578136655528
3183.0,24.0,0.9860463243505989
3203.0,23.0,0.17081866177023572
3214.0,24.0,0.050115806777761895
3226.0,22.0,0.022751939914408385
3245.0,23.0,0.9945345030422622
3285.0,14.0,0.9426231415568422
3291.0,20.0,0.7060959331569858
3312.0,24.0,0.9699733626762828
3316.0,14.0,0.6228970699192543
3336.0,19.0,-0.2583415555103229
3378.0,14.0,0.9004989472458961
3387.0,24.0,-0.09217526992564205
3393.0,22.0,0.7197920277575589
3422.0,25.0,0.4632616580217642
3427.0,11.0,0.9384811272767557
3460.0,24.0,0.9987482375855299
3465.0,13.0,0.4165530379892341
3473.0,4.0,0.1510361964628281
3479.0,17.0,0.8359383884668612
3489.0,20.0,0.8395659807420943
3493.0,22.0,0.9965186706700578
3521.0,24.0,0.9372138448807451
3612.0,22.0,0.4154320924111823
3617.0,22.0,-0.4490612018229498
3622.0,22.0,0.7846096382087275
3625.0,22.0,0.8389625798406231
3663.0,16.0,0.5576264820198371
3676.0,15.0,0.6083626684835706
3687.0,22.0,0.5893361158355322
3692.0,7.0,-0.3232204032921099
3702.0,23.0,0.9951008103586843
3704.0,24.0,0.9890469524818413
3710.0,20.0,0.9073686441682648
3712.0,24.0,0.9985358911739048
3723.0,25.0,0.8760941911360682
3738.0,20.0,0.6524950091252697
3745.0,22.0,0.9177662094949259
3765.0,22.0,0.8502831731306
3842.0,26.0,0.9986360379095983
3854.0,22.0,0.6687689426962671
3895.0,26.0,0.9848995402822496
3898.0,22.0,0.5266187000107303
3905.0,22.0,0.05543296513144474
3918.0,20.0,-0.05324474829242102
3930.0,22.0,0.8399681392114668
3943.0,22.0,0.5794726615207947
3945.0,23.0,0.9623097694171752
3976.0,21.0,0.8558076797839592
3979.0,20.0,0.46642569025919717
3991.0,11.0,0.1305959288121321
3999.0,18.0,0.7097987754972335
4004.0,21.0,0.989237979961876
4006.0,11.0,0.5492689342616501
4012.0,7.0,0.8579760997842139
4030.0,19.0,0.8431787155766316
4037.0,21.0,0.9150017806719444
4040.0,26.0,0.9686379590391526
4044.0,23.0,0.81367292347318
4056.0,24.0,0.9805225451099029
4063.0,12.0,0.432779951408811
4067.0,22.0,0.0534593639795946
4068.0,23.0,0.7674910700046312
4070.0,13.0,0.2639413761464791
4081.0,23.0,0.8472198539476314
4083.0,21.0,0.9143752379856468
4088.0,23.0,0.41513810509704824
4091.0,20.0,-0.08220019783374734
4115.0,24.0,0.9665105122863415
4125.0,23.0,0.8392104740353604
4139.0,24.0,0.9501846757825563
4155.0,10.0,-0.1905980086976465
4213.0,17.0,0.7259600027728451
4219.0,24.0,0.9954098182704315
4245.0,23.0,0.33775781378751624
4251.0,18.0,0.19565567038724865
4274.0,22.0,0.772577654736181
4279.0,23.0,0.9904400087278404
4289.0,19.0,0.02144424262580561
4307.0,8.0,0.4270739897009146
4322.0,21.0,0.9560821501543235
4334.0,20.0,0.6255559210998559
4342.0,23.0,0.9510491746692273
4353.0,23.0,0.9761824891864959
4365.0,21.0,-0.009865818739767674
4368.0,19.0,-0.5845876854357054
4415.0,21.0,-0.0987268580473598
4425.0,24.0,0.9185908232314435
4442.0,5.0,0.8622465593621964
4555.0,24.0,0.9973877729616334
4635.0,23.0,-0.0004889150943093849
4659.0,23.0,0.9545043025669323
4674.0,20.0,0.608919651072899
4678.0,23.0,-0.030761171680556986
4708.0,23.0,-0.5219810474028609
4714.0,20.0,0.3337905719884829
4720.0,24.0,0.9857304593942321
4755.0,23.0,0.9882567181576565
4757.0,22.0,0.9881251591168807
4760.0,22.0,0.784385241731928
4805.0,23.0,0.9583344021928094
4815.0,24.0,0.21638915937805184
4875.0,26.0,0.7267876314725555
4926.0,23.0,0.9131804551497004
4952.0,19.0,0.8403687292283375
5035.0,23.0,0.9777784012975941
5044.0,22.0,0.9629002094577755
5046.0,23.0,0.45025207513151544
5083.0,13.0,0.39778766667151044
5121.0,24.0,0.020321145739972478
5137.0,25.0,0.9236228382665391
