z,d_M,d_L
0.00655,27.27474,27.45339
0.00656,27.31625,27.49545
0.00657,27.35777,27.53751
0.00658,27.39928,27.57957
0.00659,27.4408,27.62163
0.0066,27.48231,27.6637
0.00661,27.52383,27.70576
0.00662,27.56534,27.74782
0.00663,27.60686,27.78989
0.00664,27.64837,27.83195
0.00665,27.68988,27.87402
0.00666,27.7314,27.91609
0.00667,27.77291,27.95816
0.00668,27.81442,28.00023
0.00669,27.85594,28.04229
0.0067,27.89745,28.08436
0.00671,27.93896,28.12643
0.00672,27.98048,28.1685
0.00673,28.02199,28.21058
0.00674,28.0635,28.25265
0.00675,28.10501,28.29472
0.00676,28.14652,28.3368
0.00677,28.18804,28.37887
0.00678,28.22955,28.42094
0.00679,28.27106,28.46302
0.0068,28.31257,28.50509
0.00681,28.35408,28.54717
0.00682,28.39559,28.58925
0.00683,28.4371,28.63133
0.00684,28.47861,28.67341
0.00685,28.52012,28.71549
0.00686,28.56163,28.75756
0.00687,28.60314,28.79965
0.00688,28.64465,28.84173
0.00689,28.68616,28.88381
0.0069,28.72767,28.92589
0.00691,28.76918,28.96798
0.00692,28.81069,29.01006
0.00693,28.8522,29.05214
0.00694,28.89371,29.09423
0.00695,28.93521,29.13631
0.00696,28.97672,29.1784
0.00697,29.01823,29.22049
0.00698,29.05974,29.26258
0.00699,29.10125,29.30466
0.007,29.14275,29.34675
0.00701,29.18426,29.38884
0.00702,29.22577,29.43093
0.00703,29.26727,29.47302
0.00704,29.30878,29.51511
0.00705,29.35029,29.55721
0.00706,29.39179,29.5993
0.00707,29.4333,29.64139
0.00708,29.4748,29.68349
0.00709,29.51631,29.72558
0.0071,29.55782,29.76768
0.00711,29.59932,29.80977
0.00712,29.64083,29.85187
0.00713,29.68233,29.89397
0.00714,29.72383,29.93606
0.00715,29.76534,29.97816
0.00716,29.80684,30.02026
0.00717,29.84835,30.06236
0.00718,29.88985,30.10446
0.00719,29.93136,30.14656
0.0072,29.97286,30.18866
0.00721,30.01436,30.23077
0.00722,30.05587,30.27287
0.00723,30.09737,30.31497
0.00724,30.13887,30.35708
0.00725,30.18037,30.39918
0.00726,30.22188,30.44129
0.00727,30.26338,30.48339
0.00728,30.30488,30.5255
0.00729,30.34638,30.56761
0.0073,30.38788,30.60972
0.00731,30.42939,30.65182
0.00732,30.47089,30.69394
0.00733,30.51239,30.73605
0.00734,30.55389,30.77815
0.00735,30.59539,30.82027
0.00736,30.63689,30.86238
0.00737,30.67839,30.90449
0.00738,30.71989,30.94661
0.00739,30.76139,30.98872
0.0074,30.80289,31.03083
0.00741,30.84439,31.07295
0.00742,30.88589,31.11506
0.00743,30.92739,31.15718
0.00744,30.96889,31.1993
0.00745,31.01039,31.24142
0.00746,31.05189,31.28353
0.00747,31.09339,31.32565
0.00748,31.13488,31.36777
0.00749,31.17638,31.40989
0.0075,31.21788,31.45201
0.00751,31.25938,31.49413
0.00752,31.30087,31.53626
0.00753,31.34237,31.57838
0.00754,31.38387,31.6205
0.00755,31.42537,31.66263
0.00756,31.46686,31.70475
0.00757,31.50836,31.74688
0.00758,31.54986,31.789
0.00759,31.59135,31.83113
0.0076,31.63285,31.87326
0.00761,31.67434,31.91539
0.00762,31.71584,31.95751
0.00763,31.75734,31.99964
0.00764,31.79883,32.04177
0.00765,31.84033,32.0839
0.00766,31.88182,32.12603
0.00767,31.92332,32.16817
0.00768,31.96481,32.2103
0.00769,32.00631,32.25243
0.0077,32.0478,32.29457
0.00771,32.08929,32.3367
0.00772,32.13079,32.37884
0.00773,32.17228,32.42097
0.00774,32.21377,32.46311
0.00775,32.25526,32.50525
0.00776,32.29676,32.54738
0.00777,32.33825,32.58952
0.00778,32.37975,32.63166
0.00779,32.42124,32.6738
0.0078,32.46273,32.71594
0.00781,32.50422,32.75808
0.00782,32.54571,32.80022
