object_tag,PLATE,FIBERID,MJD,MPA_tag
2246941,2662,598,54505,888140
2248313,2505,440,53856,839773
36474,343,263,51692,39171
36859,344,588,51693,39809
2246725,2658,110,54502,886003
36484,343,498,51692,39323
37963,284,292,51943,11118
36428,283,191,51959,10051
2247429,2655,440,54184,884837
36929,346,424,51693,40561
38008,285,300,51930,12144
36530,344,196,51693,39568
36532,344,199,51693,39570
38540,295,204,51985,17374
41235,291,304,51928,15553
38162,288,3,52000,13404
36910,345,554,51690,40252
38330,291,8,51928,15309
37100,278,426,51900,6878
37802,280,286,51612,8330
38198,289,46,51990,13912
37825,281,282,51614,8821
38334,291,2,51928,15304
38701,297,130,51959,19424
39169,919,441,52409,301229
38757,911,525,52426,297838
38991,302,283,51688,22732
39408,923,336,52404,302833
40762,282,291,51658,9672
40916,284,170,51943,11016
2351845,2585,386,54097,860114
2352811,2490,247,54179,831993
2343204,2756,558,54508,897333
2354368,2498,63,54169,835840
2363686,2758,22,54523,897897
2360941,2613,193,54481,873244
2360615,2515,182,54180,844684
2364724,2608,344,54474,870965
2361166,2616,555,54499,874895
2363813,2761,359,54534,899679
2363845,2760,630,54506,899381
2364856,2609,581,54476,871633
2360915,2612,74,54480,872698
2360904,2612,106,54480,872718
2364969,2612,385,54480,872930
2363578,2757,439,54509,897729
2361813,2759,276,54534,898594
2362840,2609,433,54476,871530
2364014,2764,221,54535,901105
2361957,2760,61,54506,898927
2362232,2764,102,54535,901013
2362761,2509,633,54180,841985
2362959,2611,512,54477,872548
2362914,2611,387,54477,872448
2363031,2613,431,54481,873429
2363019,2612,591,54480,873072
2363567,2756,73,54508,896949
2363429,2642,486,54232,879049
2363532,2757,343,54509,897658
2363835,2761,391,54534,899705
2434752,771,46,52370,238733
2364948,2611,483,54477,872526
2365016,2613,341,54481,873355
2365252,2618,471,54506,875840
2367144,2619,321,54506,876197
2365645,2759,343,54534,898648
2365584,2758,350,54523,898141
2367412,2757,369,54509,897680
2501047,2590,611,54175,862783
2366027,2764,555,54535,901366
2366638,2515,580,54180,845008
2500476,2576,552,54086,856124
2220281,2343,348,53735,800174
2504545,2582,565,54139,858820
2502911,2586,454,54169,860648
2502726,2580,474,54092,857835
2501095,2592,627,54178,863759
2502680,2578,573,54093,857012
2502776,2582,440,54139,858718
